                  美元兑离岸人民币 (USDCNH)
      时间	    开盘	    最高	    最低	    收盘	         成交量	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2016/01/03	  6.5641	  6.5700	  6.5641	  6.5673	              0	      0.000	      0.000	      0.000	
 2016/01/04	  6.5684	  6.6347	  6.5671	  6.6272	              0	      0.005	      0.001	      0.008	
 2016/01/05	  6.6274	  6.6539	  6.6248	  6.6454	              0	      0.010	      0.003	      0.014	
 2016/01/06	  6.6456	  6.7316	  6.6337	  6.6973	              0	      0.018	      0.006	      0.024	
 2016/01/07	  6.6975	  6.7585	  6.6587	  6.6845	              0	      0.023	      0.009	      0.028	
 2016/01/08	  6.6847	  6.6913	  6.6485	  6.6810	              0	      0.027	      0.013	      0.028	
 2016/01/10	  6.6778	  6.6883	  6.6763	  6.6867	              0	      0.029	      0.016	      0.027	
 2016/01/11	  6.6878	  6.7069	  6.5820	  6.6021	              0	      0.025	      0.018	      0.014	
 2016/01/12	  6.6022	  6.6073	  6.5641	  6.5764	              0	      0.018	      0.018	      0.001	
 2016/01/13	  6.5766	  6.5820	  6.5588	  6.5655	              0	      0.012	      0.017	     -0.009	
 2016/01/14	  6.5658	  6.6252	  6.5647	  6.5985	              0	      0.010	      0.015	     -0.010	
 2016/01/15	  6.5988	  6.6201	  6.5966	  6.6124	              0	      0.010	      0.014	     -0.009	
 2016/01/17	  6.6061	  6.6139	  6.5948	  6.5975	              0	      0.008	      0.013	     -0.010	
 2016/01/18	  6.5984	  6.5993	  6.5705	  6.5829	              0	      0.005	      0.011	     -0.013	
 2016/01/19	  6.5829	  6.6088	  6.5818	  6.5897	              0	      0.004	      0.010	     -0.013	
 2016/01/20	  6.5900	  6.6120	  6.5874	  6.5987	              0	      0.003	      0.009	     -0.011	
 2016/01/21	  6.5980	  6.6192	  6.5968	  6.6004	              0	      0.003	      0.007	     -0.009	
 2016/01/22	  6.6008	  6.6171	  6.5988	  6.6095	              0	      0.003	      0.006	     -0.007	
 2016/01/24	  6.6299	  6.6299	  6.6063	  6.6090	              0	      0.003	      0.006	     -0.005	
 2016/01/25	  6.6090	  6.6185	  6.5995	  6.6076	              0	      0.003	      0.005	     -0.004	
 2016/01/26	  6.6085	  6.6203	  6.6028	  6.6115	              0	      0.004	      0.005	     -0.003	
